heuristic,look_ahead,trials,moves,highest_tile,score,
random,1,1,156,256,1920,
random,1,1,124,128,1160,
random,1,1,144,128,1352,
random,1,1,121,128,1128,
random,1,1,129,128,1292,
random,1,1,57,32,352,
random,1,1,68,32,428,
random,1,1,186,128,1908,
random,1,1,96,64,776,
random,1,1,114,128,1040,1135.6
highscore,1,1,177,128,1868,
highscore,1,1,190,256,2344,
highscore,1,1,185,256,2176,
highscore,1,1,139,128,1332,
highscore,1,1,91,64,692,
highscore,1,1,188,256,2292,
highscore,1,1,313,512,4568,
highscore,1,1,270,256,3228,
highscore,1,1,169,128,1672,
highscore,1,1,109,128,1060,
highscore,2,1,465,512,6864,
highscore,2,1,410,512,5756,
highscore,2,1,498,512,7144,
highscore,2,1,513,512,7380,
highscore,2,1,372,512,5360,
highscore,2,1,480,512,7120,
highscore,2,1,491,512,7112,
highscore,2,1,488,512,7104,
highscore,2,1,516,512,7460,
highscore,2,1,252,256,3068,
highscore,3,1,403,512,5600,
highscore,3,1,783,1024,13772,
highscore,3,1,962,1024,16092,
highscore,3,1,835,1024,14408,
highscore,3,1,505,512,7224,
highscore,3,1,912,1024,15680,
highscore,3,1,741,1024,12348,
highscore,3,1,498,512,7272,
highscore,3,1,735,1024,12252,
highscore,3,1,920,1024,15812,
highscore,3,5,851,1024,14596,
highscore,3,5,903,1024,15472,
highscore,3,5,963,1024,16272,
highscore,3,10,487,512,7080,
highscore,3,10,1430,2048,27244,8192.114286
mostmerges,1,1,116,128,1080,
mostmerges,1,1,194,256,2324,
mostmerges,1,1,120,128,1184,
mostmerges,1,1,255,256,3084,
mostmerges,1,1,253,256,3044,
mostmerges,1,1,145,128,1484,
mostmerges,1,1,335,512,4872,
mostmerges,1,1,120,64,1032,
mostmerges,1,1,113,128,1096,
mostmerges,1,1,81,64,600,
mostmerges,2,1,520,512,7540,
mostmerges,2,1,425,512,6372,
mostmerges,2,1,281,256,3384,
mostmerges,2,1,373,512,5404,
mostmerges,2,1,227,256,2588,
mostmerges,2,1,486,512,7108,
mostmerges,2,1,418,512,5828,
mostmerges,2,1,390,512,5592,
mostmerges,2,1,460,512,6848,
mostmerges,2,1,264,256,3188,
mostmerges,3,1,745,1024,12384,
mostmerges,3,1,745,1024,12344,
mostmerges,3,1,915,1024,15536,
mostmerges,3,1,527,512,7800,
mostmerges,3,1,490,512,7180,
mostmerges,3,1,499,512,7200,
mostmerges,3,1,290,256,3560,
mostmerges,3,1,527,512,7584,
mostmerges,3,1,752,1024,12440,
mostmerges,3,1,494,512,7216,
mostmergesavail,1,1,181,256,2096,
mostmergesavail,1,1,170,128,1700,
mostmergesavail,1,1,247,256,2940,
